Date	Price	Open	High	Low	Vol.	Change %
17-11-16	379.5	379.5	379.5	379.5		0.00%
16-11-16	379.5	379.5	379.5	379.5		0.00%
15-11-16	379.5	379.5	379.5	379.5		0.00%
14-11-16	379.5	379.5	379.5	379.5		0.00%
11-11-16	379.5	379.5	379.5	379.5		0.00%
10-11-16	379.5	379.5	379.5	379.5		0.00%
09-11-16	379.5	379.5	379.5	379.5		0.00%
08-11-16	379.5	379.5	379.5	379.5		0.00%
07-11-16	379.5	379.5	379.5	379.5		0.00%
04-11-16	379.5	379.5	379.5	379.5		0.00%
03-11-16	379.5	379.5	379.5	379.5		0.00%
02-11-16	379.5	379.5	379.5	379.5		0.00%
01-11-16	379.5	379.5	379.5	379.5		0.00%
31-10-16	379.5	379.5	379.5	379.5		0.00%
28-10-16	379.5	379.5	379.5	379.5		0.00%
27-10-16	379.5	379.5	379.5	379.5		0.00%
26-10-16	379.5	379.5	379.5	379.5		0.00%
25-10-16	379.5	379.5	379.5	379.5		0.00%
24-10-16	379.5	379.5	379.5	379.5		0.00%
21-10-16	379.5	379.5	379.5	379.5		0.00%
20-10-16	379.5	379.5	379.5	379.5		0.00%
19-10-16	379.5	379.5	379.5	379.5		0.00%
18-10-16	379.5	379.5	379.5	379.5		0.00%
17-10-16	379.5	379.5	379.5	379.5		0.00%
14-10-16	379.5	379.5	379.5	379.5		0.00%
13-10-16	379.5	379.5	379.5	379.5		0.00%
12-10-16	379.5	379.5	379.5	379.5		0.00%
11-10-16	379.5	379.5	379.5	379.5		0.00%
10-10-16	379.5	379.5	379.5	379.5		0.00%
07-10-16	379.5	379.5	379.5	379.5		0.00%
06-10-16	379.5	379.5	379.5	379.5		0.00%
05-10-16	379.5	379.5	379.5	379.5		0.00%
04-10-16	379.5	379.5	379.5	379.5		0.00%
03-10-16	379.5	379.5	379.5	379.5		0.00%
30-09-16	379.5	379.5	379.5	379.5		0.00%
29-09-16	379.5	379.5	379.5	379.5		0.00%
28-09-16	379.5	379.5	379.5	379.5		0.00%
27-09-16	379.5	379.5	379.5	379.5		0.00%
26-09-16	379.5	379.5	379.5	379.5		0.00%
23-09-16	379.5	379.5	379.5	379.5		0.00%
22-09-16	379.5	379.5	379.5	379.5		0.00%
21-09-16	379.5	379.5	379.5	379.5		0.00%
20-09-16	379.5	379.5	379.5	379.5		0.00%
19-09-16	379.5	379.5	379.5	379.5		0.00%
16-09-16	379.5	379.5	379.5	379.5		0.00%
15-09-16	379.5	379.5	379.5	379.5		0.00%
14-09-16	379.5	379.5	379.5	379.5		0.00%
13-09-16	379.5	379.5	379.5	379.5		0.00%
12-09-16	379.5	379.5	379.5	379.5		0.00%
09-09-16	379.5	379.5	379.5	379.5		0.00%
08-09-16	379.5	379.5	379.5	379.5		0.00%
07-09-16	379.5	379.5	379.5	379.5		0.00%
06-09-16	379.5	379.5	379.5	379.5		0.00%
05-09-16	379.5	379.5	379.5	379.5		0.00%
02-09-16	379.5	379.5	379.5	379.5		0.00%
01-09-16	379.5	379.5	379.5	379.5		0.00%
31-08-16	379.5	379.5	379.5	379.5		0.00%
30-08-16	379.5	379.5	379.5	379.5		0.00%
29-08-16	379.5	379.5	379.5	379.5		0.00%
26-08-16	379.5	379.5	379.5	379.5		0.00%
25-08-16	379.5	379.5	379.5	379.5		0.00%
24-08-16	379.5	379.5	379.5	379.5		0.00%
23-08-16	379.5	379.5	379.5	379.5		0.00%
22-08-16	379.5	379.5	379.5	379.5		0.00%
19-08-16	379.5	379.5	379.5	379.5		0.00%
18-08-16	379.5	379.5	379.5	379.5		0.00%
17-08-16	379.5	379.5	379.5	379.5		0.00%
16-08-16	379.5	379.5	379.5	379.5		0.00%
15-08-16	379.5	379.5	379.5	379.5		0.00%
12-08-16	379.5	379.5	379.5	379.5		0.00%
11-08-16	379.5	379.5	379.5	379.5		0.00%
